Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Population,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm
AB-RL_10,8,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,9,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,1,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,10,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,11,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,12,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,2,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,3,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,4,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,5,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,6,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_2,7,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
