Population,Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm,PC1,PC2,flw.no2016
CAR-NBA,CAR-NBA_13,9,Alvar,1368.191,12,GL_alvar,1,1,1,7,0,0,0,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_21,1,Alvar,1368.191,10,GL_alvar,1,1,1,8,0,0,0,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_21,10,Alvar,1368.191,12,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_21,11,Alvar,1368.191,10,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_10,10,Alvar,1368.191,8,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_10,11,Alvar,1368.191,25,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_10,2,Alvar,1368.191,9,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_10,3,Alvar,1368.191,9,GL_alvar,1,1,1,6,0,0,0,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_10,5,Alvar,1368.191,10,GL_alvar,1,1,1,3,0,0,0,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_11,1,Alvar,1368.191,10,GL_alvar,1,1,1,15,0,0,0,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_11,10,Alvar,1368.191,10,GL_alvar,1,1,1,8,0,0,0,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_11,11,Alvar,1368.191,8,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_11,12,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_11,2,Alvar,1368.191,8,GL_alvar,1,1,1,26,0,0,0,2.575403033,1.481069919,26
CAR-NBA,CAR-NBA_11,3,Alvar,1368.191,10,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_11,5,Alvar,1368.191,9,GL_alvar,1,1,1,11,1,1,5,2.575403033,1.481069919,11
CAR-NBA,CAR-NBA_11,7,Alvar,1368.191,8,GL_alvar,1,1,1,2,0,0,0,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_11,8,Alvar,1368.191,9,GL_alvar,1,1,1,14,0,0,0,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_11,9,Alvar,1368.191,12,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_12,1,Alvar,1368.191,11,GL_alvar,1,1,1,26,1,1,6,2.575403033,1.481069919,26
CAR-NBA,CAR-NBA_12,10,Alvar,1368.191,10,GL_alvar,1,1,1,13,1,2,28,2.575403033,1.481069919,13
CAR-NBA,CAR-NBA_12,11,Alvar,1368.191,12,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_12,12,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_12,2,Alvar,1368.191,8,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_12,3,Alvar,1368.191,12,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_12,5,Alvar,1368.191,11,GL_alvar,1,1,1,2,0,0,0,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_12,7,Alvar,1368.191,9,GL_alvar,1,1,1,4,0,0,0,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_4,5,Alvar,1368.191,12,GL_alvar,1,1,1,32,0,0,0,2.575403033,1.481069919,32
CAR-NBA,CAR-NBA_4,7,Alvar,1368.191,9,GL_alvar,1,1,1,6,0,0,0,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_4,8,Alvar,1368.191,11,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_4,9,Alvar,1368.191,11,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_7,1,Alvar,1368.191,10,GL_alvar,1,1,1,6,0,0,0,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_7,10,Alvar,1368.191,9,GL_alvar,1,1,1,3,0,0,0,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_7,11,Alvar,1368.191,10,GL_alvar,1,1,1,15,0,0,0,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_7,12,Alvar,1368.191,10,GL_alvar,1,1,1,15,1,3,36,2.575403033,1.481069919,15
CAR-NBA,CAR-NBA_7,3,Alvar,1368.191,9,GL_alvar,1,1,1,6,1,1,12,2.575403033,1.481069919,6
CAR-NBA,CAR-NBA_7,4,Alvar,1368.191,10,GL_alvar,1,1,1,17,0,0,0,2.575403033,1.481069919,17
CAR-NBA,CAR-NBA_7,5,Alvar,1368.191,10,GL_alvar,1,1,1,3,0,0,0,2.575403033,1.481069919,3
CAR-NBA,CAR-NBA_7,6,Alvar,1368.191,9,GL_alvar,1,1,1,4,0,0,0,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_8,1,Alvar,1368.191,9,GL_alvar,1,1,1,18,1,2,22,2.575403033,1.481069919,18
CAR-NBA,CAR-NBA_8,10,Alvar,1368.191,10,GL_alvar,1,1,1,14,0,0,0,2.575403033,1.481069919,14
CAR-NBA,CAR-NBA_8,11,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_8,2,Alvar,1368.191,8,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_8,3,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_21,12,Alvar,1368.191,14,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_21,2,Alvar,1368.191,15,GL_alvar,1,1,1,4,0,0,0,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_21,3,Alvar,1368.191,10,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_21,5,Alvar,1368.191,10,GL_alvar,1,1,1,25,0,0,0,2.575403033,1.481069919,25
CAR-NBA,CAR-NBA_21,6,Alvar,1368.191,9,GL_alvar,1,1,1,4,0,0,0,2.575403033,1.481069919,4
